Mode,Route,Distance (km),Duration,Cost (Rs),Reason,Gender,Age
Car,Coimbatore to Chennai,520.5,9hr 56min,7481,"to reach soon, comfortable, safety",F,56
Car,Erode to Chennai,412.3,7hr 36min,6382,"to reach soon, comfortable, safety",F,34
Car,Trichy to Chennai,330.4,6hr 5min,5198,"to reach soon, comfortable, safety",F,59
Car,Salem to Chennai,348.3,6hr 34min,4757,"to reach soon, comfortable, safety",M,44
Bus,Coimbatore to Chennai,520.5,8hr 35min,1200,"to reach soon, comfortable",F,41
Bus,Erode to Chennai,412.3,8hr 30min,899,"to reach soon, comfortable",M,39
Bus,Trichy to Chennai,330.0,5hr 45min,499,"to reach soon, comfortable",F,60
Bus,Salem to Chennai,348.3,6hr 10min,750,"to reach soon, comfortable",F,24
Train,Coimbatore to Chennai,484.0,7hr 45min,325,"low ticket price, Safe",F,45
Train,Erode to Chennai,350.0,6hr 30min,245,"low ticket price, Safe",F,23
Train,Trichy to Chennai,338.0,5hr 24min,255,"low ticket price, Safe",M,32
Train,Salem to Chennai,341.0,6hr 35min,255,"low ticket price, Safe",M,52
Flight,Coimbatore to Chennai,420.0,1hr 5min,3289,to reach fast,F,56
Flight,Trichy to Chennai,302.0,55min,3148,to reach fast,M,36
Flight,Salem to Chennai,270.0,1hr,3024,to reach fast,F,31
Car,Coimbatore to Chennai,520.5,9hr 56min,7481,"to reach soon, comfortable, safety",M,30
Car,Erode to Chennai,412.3,7hr 36min,6382,"to reach soon, comfortable, safety",F,28
Car,Trichy to Chennai,330.4,6hr 5min,5198,"to reach soon, comfortable, safety",M,36
Car,Salem to Chennai,348.3,6hr 34min,4757,"to reach soon, comfortable, safety",M,58
Bus,Coimbatore to Chennai,520.5,8hr 35min,1200,"to reach soon, comfortable",F,55
Bus,Erode to Chennai,412.3,8hr 30min,899,"to reach soon, comfortable",M,29
Bus,Trichy to Chennai,330.0,5hr 45min,499,"to reach soon, comfortable",F,49
Bus,Salem to Chennai,348.3,6hr 10min,750,"to reach soon, comfortable",F,25
Train,Coimbatore to Chennai,484.0,7hr 45min,325,"low ticket price, Safe",M,54
Train,Erode to Chennai,350.0,6hr 30min,245,"low ticket price, Safe",M,49
Train,Trichy to Chennai,338.0,5hr 24min,255,"low ticket price, Safe",F,43
Train,Salem to Chennai,341.0,6hr 35min,255,"low ticket price, Safe",F,24
Flight,Coimbatore to Chennai,420.0,1hr 5min,3289,to reach fast,M,26
Flight,Trichy to Chennai,302.0,55min,3148,to reach fast,F,43
Flight,Salem to Chennai,270.0,1hr,3024,to reach fast,F,24
Car,Coimbatore to Chennai,520.5,9hr 56min,7481,"to reach soon, comfortable, safety",M,45
Car,Erode to Chennai,412.3,7hr 36min,6382,"to reach soon, comfortable, safety",F,44
Car,Trichy to Chennai,330.4,6hr 5min,5198,"to reach soon, comfortable, safety",M,51
Car,Salem to Chennai,348.3,6hr 34min,4757,"to reach soon, comfortable, safety",F,33
Bus,Coimbatore to Chennai,520.5,8hr 35min,1200,"to reach soon, comfortable",F,22
Bus,Erode to Chennai,412.3,8hr 30min,899,"to reach soon, comfortable",F,35
Bus,Trichy to Chennai,330.0,5hr 45min,499,"to reach soon, comfortable",F,23
Bus,Salem to Chennai,348.3,6hr 10min,750,"to reach soon, comfortable",F,50
Train,Coimbatore to Chennai,484.0,7hr 45min,325,"low ticket price, Safe",F,50
Train,Erode to Chennai,350.0,6hr 30min,245,"low ticket price, Safe",F,55
Train,Trichy to Chennai,338.0,5hr 24min,255,"low ticket price, Safe",F,55
Train,Salem to Chennai,341.0,6hr 35min,255,"low ticket price, Safe",F,24
Flight,Coimbatore to Chennai,420.0,1hr 5min,3289,to reach fast,M,24
Flight,Trichy to Chennai,302.0,55min,3148,to reach fast,F,41
Flight,Salem to Chennai,270.0,1hr,3024,to reach fast,M,48
Car,Coimbatore to Chennai,520.5,9hr 56min,7481,"to reach soon, comfortable, safety",M,43
Car,Erode to Chennai,412.3,7hr 36min,6382,"to reach soon, comfortable, safety",M,56
Car,Trichy to Chennai,330.4,6hr 5min,5198,"to reach soon, comfortable, safety",M,46
Car,Salem to Chennai,348.3,6hr 34min,4757,"to reach soon, comfortable, safety",M,22
Bus,Coimbatore to Chennai,520.5,8hr 35min,1200,"to reach soon, comfortable",M,26
Bus,Erode to Chennai,412.3,8hr 30min,899,"to reach soon, comfortable",F,31
Bus,Trichy to Chennai,330.0,5hr 45min,499,"to reach soon, comfortable",M,57
Bus,Salem to Chennai,348.3,6hr 10min,750,"to reach soon, comfortable",M,59
Train,Coimbatore to Chennai,484.0,7hr 45min,325,"low ticket price, Safe",M,60
Train,Erode to Chennai,350.0,6hr 30min,245,"low ticket price, Safe",F,44
Train,Trichy to Chennai,338.0,5hr 24min,255,"low ticket price, Safe",F,46
Train,Salem to Chennai,341.0,6hr 35min,255,"low ticket price, Safe",M,26
Flight,Coimbatore to Chennai,420.0,1hr 5min,3289,to reach fast,M,54
Flight,Trichy to Chennai,302.0,55min,3148,to reach fast,M,48
Flight,Salem to Chennai,270.0,1hr,3024,to reach fast,M,46
Car,Coimbatore to Chennai,520.5,9hr 56min,7481,"to reach soon, comfortable, safety",F,40
Car,Erode to Chennai,412.3,7hr 36min,6382,"to reach soon, comfortable, safety",M,43
Car,Trichy to Chennai,330.4,6hr 5min,5198,"to reach soon, comfortable, safety",F,60
Car,Salem to Chennai,348.3,6hr 34min,4757,"to reach soon, comfortable, safety",F,54
Bus,Coimbatore to Chennai,520.5,8hr 35min,1200,"to reach soon, comfortable",M,40
Bus,Erode to Chennai,412.3,8hr 30min,899,"to reach soon, comfortable",F,60
Bus,Trichy to Chennai,330.0,5hr 45min,499,"to reach soon, comfortable",M,42
Bus,Salem to Chennai,348.3,6hr 10min,750,"to reach soon, comfortable",F,26
Train,Coimbatore to Chennai,484.0,7hr 45min,325,"low ticket price, Safe",F,26
Train,Erode to Chennai,350.0,6hr 30min,245,"low ticket price, Safe",M,26
Train,Trichy to Chennai,338.0,5hr 24min,255,"low ticket price, Safe",F,47
Train,Salem to Chennai,341.0,6hr 35min,255,"low ticket price, Safe",M,51
Flight,Coimbatore to Chennai,420.0,1hr 5min,3289,to reach fast,M,55
Flight,Trichy to Chennai,302.0,55min,3148,to reach fast,M,33
Flight,Salem to Chennai,270.0,1hr,3024,to reach fast,M,54
Car,Coimbatore to Chennai,520.5,9hr 56min,7481,"to reach soon, comfortable, safety",M,23
Car,Erode to Chennai,412.3,7hr 36min,6382,"to reach soon, comfortable, safety",M,28
Car,Trichy to Chennai,330.4,6hr 5min,5198,"to reach soon, comfortable, safety",M,41
Car,Salem to Chennai,348.3,6hr 34min,4757,"to reach soon, comfortable, safety",F,32
Bus,Coimbatore to Chennai,520.5,8hr 35min,1200,"to reach soon, comfortable",F,25
Bus,Erode to Chennai,412.3,8hr 30min,899,"to reach soon, comfortable",F,28
Bus,Trichy to Chennai,330.0,5hr 45min,499,"to reach soon, comfortable",F,26
Bus,Salem to Chennai,348.3,6hr 10min,750,"to reach soon, comfortable",M,53
Train,Coimbatore to Chennai,484.0,7hr 45min,325,"low ticket price, Safe",M,27
Train,Erode to Chennai,350.0,6hr 30min,245,"low ticket price, Safe",F,50
Train,Trichy to Chennai,338.0,5hr 24min,255,"low ticket price, Safe",F,55
